IntermediateZone2011Code,IntermediateZone2011Name
S02001615,Morningside
S02001616,Merchiston and Greenhill
S02001617,Bruntsfield
S02001618,Polwarth
S02001619,Dalry and Fountainbridge
S02001620,Tollcross
S02001621,Meadows and Southside
S02001622,"Old Town, Princes Street and Leith Street"
S02001623,"Canongate, Southside and Dumbiedykes"
S02001624,Abbeyhill
S02001625,Meadowbank and Abbeyhill North
S02001626,Willowbrae and Duddingston Village
S02001627,Craigmillar
S02001628,Niddrie
S02001629,"Bingham, Magdalene and The Christians"
S02001630,"Jewel, Brunstane and Newcraighall"
S02001631,Joppa
S02001632,Portobello
S02001633,Duddingston and Portobello South
S02001634,Mountcastle
S02001635,Northfield and Piershill
S02001636,Craigentinny
S02001637,Restalrig (Loganlea) and Craigentinny West
S02001638,Restalrig and Lochend
S02001639,Leith (Hermitage and Prospect Bank)
S02001640,Western Harbour and Leith Docks
S02001641,North Leith and Newhaven
S02001642,The Shore and Constitution Street
S02001643,Great Junction Street
S02001644,South Leith
S02001645,Easter Road and Hawkhill Avenue
S02001646,Leith (Albert Street)
S02001647,Hillside and Calton Hill
S02001648,Pilrig
S02001649,Bonnington
S02001650,Trinity East and The Dudleys
S02001651,Trinity
S02001652,"Inverleith, Goldenacre and Warriston"
S02001653,Broughton North and Powderhall
S02001654,Broughton South
S02001655,New Town East and Gayfield
S02001656,New Town West
S02001657,Canonmills and New Town North
S02001658,Stockbridge
S02001659,Comely Bank
S02001660,Deans Village
S02001661,Balgreen and Roseburn
S02001662,Murrayfield and Ravelston
S02001663,"Craigleith, Orchard Brae and Crewe Toll"
S02001664,Blackhall
S02001665,Drylaw
S02001666,West Pilton
S02001667,Boswall and Pilton
S02001668,Granton South and Wardieburn
S02001669,Granton and Royston Mains
S02001670,Granton West and Salvesen
S02001671,Muirhouse
S02001672,Siverknowes and Davidson's Mains
S02001673,Cramond
S02001674,"Barnton, Cammo and Cramond South"
S02001675,Clermiston and Drumbrae
S02001676,East Craigs North
S02001677,East Craigs South
S02001678,Corstorphine North
S02001679,Corstorphine
S02001680,Carrick Knowe
S02001681,Corstorphine South
S02001682,South Gyle
S02001683,"Ratho, Ingliston and Gogar"
S02001684,"Dalmeny, Kirkliston and Newbridge"
S02001685,Queensferry East
S02001686,Queensferry West
S02001687,Barra and South Uist
S02001688,Benbecula and North Uist
S02001689,Harris
S02001690,South Lewis
S02001691,Northwest Lewis
S02001692,Broadbay
S02001693,Stornoway West
S02001694,Stornoway East
S02001695,Point
S02001696,Dunipace
S02001697,"Fankerton, Stoneywood and Denny Town"
S02001698,Denny - Nethermains
S02001699,Head of Muir and Dennyloanhead
S02001700,"Banknock, Haggs and Longcroft"
S02001701,Bonnybridge
S02001702,High Bonnybridge and Greenhill
S02001703,Larbert - North Broomage and Inches
S02001704,Larbert - South Broomage and Village
S02001705,Stenhousemuir West
S02001706,Stenhousemuir East
S02001707,Stenhousemuir - Antonshill
S02001708,Carron
S02001709,Carronshore
S02001710,Carse and Grangemouth Old Town
S02001711,Falkirk - Bainsford and Langlees
S02001712,Falkirk - Merchiston and New Carron Village
S02001713,Falkirk - Grahamston
S02001714,Falkirk - Middlefield
S02001715,Falkirk - Town Centre and Callendar Park
S02001716,Falkirk - Bantaskin
S02001717,Falkirk - Camelon East
S02001718,Falkirk - Camelon West
S02001719,Falkirk - Tamfourhill
S02001720,Falkirk - Lochgreen and Lionthorn
S02001721,Hallglen and Glen Village
S02001722,Shieldhill
S02001723,Braes Villages
S02001724,Reddingmuirhead and Overton
S02001725,Brightons and Wallacestone
S02001726,Maddiston and Rumford
S02001727,Polmont
S02001728,Redding
S02001729,Laurieston and Westquarter
S02001730,Grangemouth - Newlands
S02001731,Grangemouth - Town Centre
S02001732,Grangemouth - Kersiebank
S02001733,Grangemouth - Bowhouse
S02001734,Bo'ness - Douglas
S02001735,Bo'ness - Newtown
S02001736,Bo'ness - Kinneil
S02001737,"Blackness, Bo'ness - Carriden and Grahamsdyke"
S02001738,Kincardine
S02001739,Oakley Comrie and Blairhall
S02001740,Saline and Gowkhall
