OA,CTRY
E00000809,ENG
E00000810,ENG
E00000811,ENG
E00000812,ENG
E00000813,ENG
E00000814,ENG
E00000815,ENG
E00000816,ENG
E00000817,ENG
E00000818,ENG
E00000819,ENG
E00000820,ENG
E00000821,ENG
E00000822,ENG
E00000823,ENG
E00000824,ENG
E00000825,ENG
E00000826,ENG
E00000827,ENG
E00000828,ENG
E00000829,ENG
E00000830,ENG
E00000831,ENG
E00000832,ENG
E00000833,ENG
E00000834,ENG
E00000835,ENG
E00000836,ENG
E00000837,ENG
E00000838,ENG
E00000839,ENG
E00000840,ENG
E00000841,ENG
E00000842,ENG
E00000843,ENG
E00000844,ENG
E00000845,ENG
E00000846,ENG
E00000847,ENG
E00000848,ENG
E00000849,ENG
E00000850,ENG
E00000851,ENG
E00000852,ENG
E00000853,ENG
E00000854,ENG
E00000855,ENG
E00000856,ENG
E00000857,ENG
E00000858,ENG
E00000859,ENG
E00000860,ENG
E00000861,ENG
E00000862,ENG
E00000863,ENG
E00000864,ENG
E00000865,ENG
E00000866,ENG
E00000867,ENG
E00000868,ENG
E00000869,ENG
E00000870,ENG
E00000871,ENG
E00000872,ENG
E00000873,ENG
E00000874,ENG
E00000875,ENG
E00000876,ENG
E00000877,ENG
E00000878,ENG
E00000879,ENG
E00000880,ENG
E00000881,ENG
E00000882,ENG
E00000883,ENG
E00000884,ENG
E00000885,ENG
E00000886,ENG
E00000887,ENG
E00000888,ENG
E00000889,ENG
E00000890,ENG
E00000891,ENG
E00000892,ENG
E00000893,ENG
E00000894,ENG
E00000895,ENG
E00000896,ENG
E00000897,ENG
E00000898,ENG
E00000899,ENG
E00000900,ENG
E00000901,ENG
E00000902,ENG
E00000903,ENG
E00000904,ENG
E00000905,ENG
E00000906,ENG
E00000907,ENG
E00000908,ENG
E00000909,ENG
E00000910,ENG
E00000911,ENG
E00000912,ENG
E00000913,ENG
E00000914,ENG
E00000915,ENG
E00000916,ENG
E00000917,ENG
E00000918,ENG
E00000919,ENG
E00000920,ENG
E00000921,ENG
E00000922,ENG
E00000923,ENG
E00000924,ENG
E00000925,ENG
E00000926,ENG
E00000927,ENG
E00000928,ENG
E00000929,ENG
E00000930,ENG
E00000931,ENG
E00000932,ENG
E00000933,ENG
E00000934,ENG
E00000935,ENG
E00000936,ENG
E00000937,ENG
E00000938,ENG
E00000939,ENG
E00000940,ENG
E00000941,ENG
E00000942,ENG
E00000943,ENG
E00000944,ENG
E00000945,ENG
E00000946,ENG
E00000947,ENG
E00000948,ENG
E00000949,ENG
E00000950,ENG
E00000951,ENG
E00000952,ENG
E00000953,ENG
E00000954,ENG
E00000955,ENG
E00000956,ENG
E00000957,ENG
E00000958,ENG
E00000959,ENG
E00000960,ENG
E00000961,ENG
E00000962,ENG
E00000963,ENG
E00000964,ENG
E00000965,ENG
E00000966,ENG
E00000967,ENG
E00000968,ENG
E00000969,ENG
E00000970,ENG
E00000971,ENG
