WARD,WARDn,PFN,PFNn,LAD,LADn
S13003000,Caol and Mallaig,S32000010_003,South Highland,S12000017,Highland
S13002999,Eilean á Chèo,S32000010_003,South Highland,S12000017,Highland
S13003010,Fort William and Ardnamurchan,S32000010_003,South Highland,S12000017,Highland
S13003007,Nairn and Cawdor,S32000010_003,South Highland,S12000017,Highland
S13002736,"East Mainland, South Ronaldsay and Burray",S32000010_004,Orkney Islands,S12000023,Orkney Islands
S13002732,Kirkwall East,S32000010_004,Orkney Islands,S12000023,Orkney Islands
S13002733,Kirkwall West and Orphir,S32000010_004,Orkney Islands,S12000023,Orkney Islands
S13002737,North Isles,S32000010_004,Orkney Islands,S12000023,Orkney Islands
S13002734,Stromness and South Isles,S32000010_004,Orkney Islands,S12000023,Orkney Islands
S13002735,West Mainland,S32000010_004,Orkney Islands,S12000023,Orkney Islands
S13002777,Lerwick North,S32000010_005,Shetland Island,S12000027,Shetland Islands
S13002778,Lerwick South,S32000010_005,Shetland Island,S12000027,Shetland Islands
S13002772,North Isles,S32000010_005,Shetland Island,S12000027,Shetland Islands
S13002775,Shetland Central,S32000010_005,Shetland Island,S12000027,Shetland Islands
S13002773,Shetland North,S32000010_005,Shetland Island,S12000027,Shetland Islands
S13002776,Shetland South,S32000010_005,Shetland Island,S12000027,Shetland Islands
S13002774,Shetland West,S32000010_005,Shetland Island,S12000027,Shetland Islands
S13002608,An Taobh Siar agus Nis,S32000010_006,Western Isles,S12000013,Na h-Eileanan Siar
S13002600,"Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas",S32000010_006,Western Isles,S12000013,Na h-Eileanan Siar
S13002601,Beinn na Foghla agus Uibhist a Tuath,S32000010_006,Western Isles,S12000013,Na h-Eileanan Siar
S13002607,Loch a Tuath,S32000010_006,Western Isles,S12000013,Na h-Eileanan Siar
S13002602,Na Hearadh agus Ceann a Deas nan Loch,S32000010_006,Western Isles,S12000013,Na h-Eileanan Siar
S13002604,Sgire an Rubha,S32000010_006,Western Isles,S12000013,Na h-Eileanan Siar
S13002603,Sgir'Uige agus Ceann a Tuath nan Loch,S32000010_006,Western Isles,S12000013,Na h-Eileanan Siar
S13002605,Steòrnabhagh a Deas,S32000010_006,Western Isles,S12000013,Na h-Eileanan Siar
S13002606,Steòrnabhagh a Tuath,S32000010_006,Western Isles,S12000013,Na h-Eileanan Siar
S13002913,Dunbar and East Linton,S32000012_001,East Lothian,S12000010,East Lothian
S13002912,Haddington and Lammermuir,S32000012_001,East Lothian,S12000010,East Lothian
S13002908,Musselburgh,S32000012_001,East Lothian,S12000010,East Lothian
S13002911,North Berwick Coastal,S32000012_001,East Lothian,S12000010,East Lothian
S13002909,"Preston, Seton and Gosford",S32000012_001,East Lothian,S12000010,East Lothian
S13002910,"Tranent, Wallyford and Macmerry",S32000012_001,East Lothian,S12000010,East Lothian
S13003019,Bonnyrigg,S32000012_002,Midlothian,S12000019,Midlothian
S13003020,Dalkeith,S32000012_002,Midlothian,S12000019,Midlothian
S13003022,Midlothian East,S32000012_002,Midlothian,S12000019,Midlothian
S13003023,Midlothian South,S32000012_002,Midlothian,S12000019,Midlothian
S13003021,Midlothian West,S32000012_002,Midlothian,S12000019,Midlothian
S13003018,Penicuik,S32000012_002,Midlothian,S12000019,Midlothian
S13002767,East Berwickshire,S32000012_003,Scottish Borders,S12000026,Scottish Borders
S13002763,Galashiels and District,S32000012_003,Scottish Borders,S12000026,Scottish Borders
S13002770,Hawick and Denholm,S32000012_003,Scottish Borders,S12000026,Scottish Borders
S13002771,Hawick and Hermitage,S32000012_003,Scottish Borders,S12000026,Scottish Borders
S13002769,Jedburgh and District,S32000012_003,Scottish Borders,S12000026,Scottish Borders
S13002768,Kelso and District,S32000012_003,Scottish Borders,S12000026,Scottish Borders
S13002765,Leaderdale and Melrose,S32000012_003,Scottish Borders,S12000026,Scottish Borders
S13002766,Mid Berwickshire,S32000012_003,Scottish Borders,S12000026,Scottish Borders
S13002764,Selkirkshire,S32000012_003,Scottish Borders,S12000026,Scottish Borders
S13002762,Tweeddale East,S32000012_003,Scottish Borders,S12000026,Scottish Borders
